# Nomogram Data - Bivariate
# Generated on: 2024-08-30 14:55:32
# Comment: MLP German CC data
# Method: dirac
# Number of discretization steps: 15
# Categorical threshold: 15
# Response scale: Odds ratio
Account Status_Other Plans_x1,Account Status_Other Plans_x2,Account Status_Other Plans_response,Account Status_Unknown1_x1,Account Status_Unknown1_x2,Account Status_Unknown1_response,Duration (Months)_Credit Amount_x1,Duration (Months)_Credit Amount_x2,Duration (Months)_Credit Amount_response,Duration (Months)_Savings/Bonds_x1,Duration (Months)_Savings/Bonds_x2,Duration (Months)_Savings/Bonds_response,Credit History_Other Plans_x1,Credit History_Other Plans_x2,Credit History_Other Plans_response,Credit Amount_Unknown2_x1,Credit Amount_Unknown2_x2,Credit Amount_Unknown2_response,Employment Length_Other Plans_x1,Employment Length_Other Plans_x2,Employment Length_Other Plans_response
-0.4019052,-1.4137341,0.6872748,-0.4019052,0.0,1.0,-0.57004726,-0.36658606,1.0165261,-0.57004726,0.0,1.0,-0.93374604,-1.4137341,0.4722615,-0.36658606,0.0,1.0,-0.83674145,-1.4137341,0.50364053
-0.4019052,-0.70686704,0.8378381,-0.4019052,1.197865,0.7828991,-0.57004726,-0.16234526,1.0007589,-0.57004726,0.32229185,1.0781975,-0.93374604,-0.70686704,0.6723764,-0.36658606,1.7215279,0.93899316,-0.83674145,-0.70686704,0.6467963
-0.4019052,0.0,1.0,0.0,0.0,1.0,-0.57004726,0.04189554,1.0013884,-0.57004726,0.6445837,1.1824136,-0.93374604,0.0,1.0,-0.16234526,0.0,1.0,-0.83674145,0.0,1.0
0.0,-1.4137341,1.0,0.0,1.197865,1.0,-0.57004726,0.24613634,1.016629,-0.57004726,0.9668755,1.2919794,-0.46687302,-1.4137341,0.66902417,-0.16234526,1.7215279,0.96693146,-0.41837072,-1.4137341,0.6690211
0.0,-0.70686704,1.0,0.4019052,0.0,1.0,-0.57004726,0.45037714,1.0442296,-0.57004726,1.2891674,1.3952751,-0.46687302,-0.70686704,0.80787754,0.04189554,0.0,1.0,-0.41837072,-0.70686704,0.772253
0.0,0.0,1.0,0.4019052,1.197865,1.091444,-0.57004726,0.6546179,1.0818315,-0.37227574,0.0,1.0,-0.46687302,0.0,1.0,0.04189554,1.7215279,1.009887,-0.41837072,0.0,1.0
0.4019052,-1.4137341,1.3674061,0.8038104,0.0,1.0,-0.57004726,0.8588587,1.1271644,-0.37227574,0.32229185,1.0488178,0.0,-1.4137341,1.0,0.24613634,0.0,1.0,0.0,-1.4137341,1.0
0.4019052,-0.70686704,1.1199197,0.8038104,1.197865,0.9714191,-0.57004726,1.0630996,1.1781126,-0.37227574,0.6445837,1.1163876,0.0,-0.70686704,1.0,0.24613634,1.7215279,1.0649074,0.0,-0.70686704,1.0
0.4019052,0.0,1.0,,,,-0.57004726,1.2673404,1.2327133,-0.37227574,0.9668755,1.1871284,0.0,0.0,1.0,0.45037714,0.0,1.0,0.0,0.0,1.0
0.8038104,-1.4137341,1.6576866,,,,-0.57004726,1.4715812,1.289146,-0.37227574,1.2891674,1.2523687,0.46687302,-1.4137341,1.3649462,0.45037714,1.7215279,1.1295799,0.41837072,-1.4137341,1.4735401
