# Nomogram Data - Univariate
# Generated on: 2024-08-30 14:55:32
# Comment: MLP German CC data
# Method: dirac
# Number of discretization steps: 15
# Categorical threshold: 15
# Response scale: Odds ratio
Account Status_x,Account Status_response,Duration (Months)_x,Duration (Months)_response,Credit History_x,Credit History_response,Credit Amount_x,Credit Amount_response,Savings/Bonds_x,Savings/Bonds_response,Employment Length_x,Employment Length_response,Other Plans_x,Other Plans_response,Foreign Worker_x,Foreign Worker_response,Unknown1_x,Unknown1_response,Unknown2_x,Unknown2_response
-0.4019052,2.3366225,-0.57004726,0.5063103,-0.93374604,3.2642503,-0.36658606,0.9238432,0.0,1.0,-0.83674145,2.081247,-1.4137341,1.9088603,0.0,1.0,0.0,1.0,0.0,1.0
0.0,1.0,-0.37227574,0.63185734,-0.46687302,1.8649805,-0.16234526,0.9627117,0.32229185,0.80224204,-0.41837072,1.5053788,-0.70686704,1.6726768,2.6420498,0.2820024,1.197865,2.030623,1.7215279,0.19041128
0.4019052,0.44505805,-0.17450422,0.8021093,0.0,1.0,0.04189554,1.0108391,0.6445837,0.6887409,0.0,1.0,0.0,1.0,,,,,,
0.8038104,0.23049305,0.02326727,1.03031,0.46687302,0.5757241,0.24613634,1.0724314,0.9668755,0.6322845,0.41837072,0.6874153,,,,,,,,
,,0.22103882,1.3302718,0.93374604,0.3877451,0.45037714,1.150965,1.2891674,0.6096373,0.83674145,0.5405042,,,,,,,,
,,0.41881037,1.7140852,,,0.6546179,1.2487001,,,,,,,,,,,,
,,0.6165818,2.1893013,,,0.8588587,1.366413,,,,,,,,,,,,
,,0.8143532,2.7565715,,,1.0630996,1.5033138,,,,,,,,,,,,
,,1.0121248,3.4088058,,,1.2673404,1.6571305,,,,,,,,,,,,
,,1.2098962,4.132356,,,1.4715812,1.8243562,,,,,,,,,,,,
,,1.4076678,4.90978,,,1.675822,2.0006285,,,,,,,,,,,,
,,1.6054393,5.723091,,,1.8800628,2.181194,,,,,,,,,,,,
,,1.8032107,6.5564466,,,2.0843036,2.3613703,,,,,,,,,,,,
,,2.0009823,7.3976316,,,2.2885444,2.5369372,,,,,,,,,,,,
,,2.1987538,8.238431,,,2.4927852,2.7044146,,,,,,,,,,,,
