# Nomogram Data - Bivariate
# Generated on: 2024-08-30 15:24:46
# Comment: MLP German CC data
# Method: lebesgue
# Number of discretization steps: 15
# Categorical threshold: 15
# Response scale: Odds ratio
Account Status_Employment Length_x1,Account Status_Employment Length_x2,Account Status_Employment Length_response,Account Status_Other Plans_x1,Account Status_Other Plans_x2,Account Status_Other Plans_response,Duration (Months)_Credit Amount_x1,Duration (Months)_Credit Amount_x2,Duration (Months)_Credit Amount_response,Duration (Months)_Savings/Bonds_x1,Duration (Months)_Savings/Bonds_x2,Duration (Months)_Savings/Bonds_response,Credit History_Other Plans_x1,Credit History_Other Plans_x2,Credit History_Other Plans_response,Credit Amount_Unknown2_x1,Credit Amount_Unknown2_x2,Credit Amount_Unknown2_response,Employment Length_Other Plans_x1,Employment Length_Other Plans_x2,Employment Length_Other Plans_response,Other Plans_Unknown1_x1,Other Plans_Unknown1_x2,Other Plans_Unknown1_response
-0.4019052,-0.83674145,0.82627803,-0.4019052,-1.4137341,0.75853837,-0.57004726,-0.36658606,0.952404,-0.57004726,0.0,0.9489517,-0.93374604,-1.4137341,0.6615906,-0.36658606,0.0,1.0225382,-0.83674145,-1.4137341,0.64934546,-1.4137341,0.0,0.9654257
-0.4019052,-0.41837072,0.90809697,-0.4019052,-0.70686704,0.93477666,-0.57004726,-0.16234526,0.9530814,-0.57004726,0.32229185,0.99158335,-0.93374604,-0.70686704,0.8614558,-0.36658606,1.7215279,0.8796732,-0.83674145,-0.70686704,0.8738823,-1.4137341,1.197865,1.119212
-0.4019052,0.0,0.99085003,-0.4019052,0.0,1.0499742,-0.57004726,0.04189554,0.9599687,-0.57004726,0.6445837,1.0462482,-0.93374604,0.0,1.0783644,-0.16234526,0.0,1.0186791,-0.83674145,0.0,1.1062125,-0.70686704,0.0,0.9696511
-0.4019052,0.41837072,1.0514781,0.0,-1.4137341,0.9277885,-0.57004726,0.24613634,0.972647,-0.57004726,0.9668755,1.1064711,-0.46687302,-1.4137341,0.7901462,-0.16234526,1.7215279,0.9185139,-0.41837072,-1.4137341,0.8114234,-0.70686704,1.197865,1.1109476
-0.4019052,0.83674145,1.0675714,0.0,-0.70686704,1.0026731,-0.57004726,0.45037714,0.9904708,-0.57004726,1.2891674,1.1662993,-0.46687302,-0.70686704,0.92644036,0.04189554,0.0,1.0140334,-0.41837072,-0.70686704,0.9715211,0.0,0.0,1.0079658
0.0,-0.83674145,0.94586813,0.0,0.0,1.0099297,-0.57004726,0.6546179,1.0126307,-0.37227574,0.0,0.9627156,-0.46687302,0.0,1.0415144,0.04189554,1.7215279,0.9658831,-0.41837072,0.0,1.0597596,0.0,1.197865,0.97299975
0.0,-0.41837072,0.97521245,0.4019052,-1.4137341,1.1147077,-0.57004726,0.8588587,1.0382248,-0.37227574,0.32229185,0.99155563,0.0,-1.4137341,0.9514354,0.24613634,0.0,1.0088693,0.0,-1.4137341,1.0128378,,,
0.0,0.0,0.9981661,0.4019052,-0.70686704,1.0456603,-0.57004726,1.0630996,1.0663344,-0.37227574,0.6445837,1.0298094,0.0,-0.70686704,0.9932077,0.24613634,1.7215279,1.0200205,0.0,-0.70686704,1.053599,,,
0.0,0.41837072,1.0095605,0.4019052,0.0,0.9758903,-0.57004726,1.2673404,1.0960844,-0.37227574,0.9668755,1.0726068,0.0,0.0,1.0053751,0.45037714,0.0,1.0034416,0.0,0.0,1.010053,,,
0.0,0.83674145,1.0095273,0.8038104,-1.4137341,1.2761751,-0.57004726,1.4715812,1.1266928,-0.37227574,1.2891674,1.1152682,0.46687302,-1.4137341,1.1106069,0.45037714,1.7215279,1.0790303,0.41837072,-1.4137341,1.1790442,,,
