# Nomogram Data - Univariate
# Generated on: 2024-08-30 15:24:46
# Comment: MLP German CC data
# Method: lebesgue
# Number of discretization steps: 15
# Categorical threshold: 15
# Response scale: Odds ratio
Account Status_x,Account Status_response,Duration (Months)_x,Duration (Months)_response,Credit History_x,Credit History_response,Credit Amount_x,Credit Amount_response,Savings/Bonds_x,Savings/Bonds_response,Employment Length_x,Employment Length_response,Other Plans_x,Other Plans_response,Foreign Worker_x,Foreign Worker_response,Unknown1_x,Unknown1_response,Unknown2_x,Unknown2_response
-0.4019052,2.5533326,-0.57004726,0.60815525,-0.93374604,2.4871976,-0.36658606,0.95259786,0.0,1.1242297,-0.83674145,1.9443648,-1.4137341,1.8709878,0.0,1.0471065,0.0,0.8787546,0.0,1.1081196
0.0,1.3629116,-0.37227574,0.69911057,-0.46687302,1.6950029,-0.16234526,0.96332276,0.32229185,0.9587547,-0.41837072,1.4379152,-0.70686704,1.3761697,2.6420498,0.28318852,1.197865,1.5996529,1.7215279,0.33271146
0.4019052,0.7420798,-0.17450422,0.8113673,0.0,1.1658186,0.04189554,0.9790939,0.6445837,0.8438962,0.0,1.0603337,0.0,0.8880704,,,,,,
0.8038104,0.43069676,0.023267299,0.94943357,0.46687302,0.83210343,0.24613634,1.0018847,0.9668755,0.7701344,0.41837072,0.8223061,,,,,,,,
,,0.22103882,1.1183379,0.93374604,0.62903845,0.45037714,1.0335368,1.2891674,0.7280021,0.83674145,0.69377244,,,,,,,,
,,0.41881034,1.3234563,,,0.6546179,1.0756578,,,,,,,,,,,,
,,0.61658186,1.5702281,,,0.8588587,1.1295594,,,,,,,,,,,,
,,0.8143532,1.8637723,,,1.0630996,1.1962239,,,,,,,,,,,,
,,1.0121248,2.2084324,,,1.2673404,1.276286,,,,,,,,,,,,
,,1.2098962,2.6073263,,,1.4715812,1.3700197,,,,,,,,,,,,
,,1.4076678,3.0619855,,,1.675822,1.4773313,,,,,,,,,,,,
,,1.6054393,3.5721586,,,1.8800628,1.5977589,,,,,,,,,,,,
,,1.8032107,4.135828,,,2.0843036,1.7304834,,,,,,,,,,,,
,,2.0009823,4.749433,,,2.2885444,1.8743577,,,,,,,,,,,,
,,2.1987538,5.4082513,,,2.4927852,2.027953,,,,,,,,,,,,
