# Nomogram Data - Bivariate
# Generated on: 2024-08-30 15:42:39
# Comment: PRN German CC data
# Method: lebesgue
# Number of discretization steps: 15
# Categorical threshold: 15
# Response scale: Odds ratio
Account Status_Other Plans_x1,Account Status_Other Plans_x2,Account Status_Other Plans_response,Duration (Months)_Credit Amount_x1,Duration (Months)_Credit Amount_x2,Duration (Months)_Credit Amount_response,Employment Length_Other Plans_x1,Employment Length_Other Plans_x2,Employment Length_Other Plans_response,Other Plans_Unknown1_x1,Other Plans_Unknown1_x2,Other Plans_Unknown1_response
-0.4019052,-1.4137341,0.67352974,-0.57004726,-0.36658606,0.7731872,-0.83674145,-1.4137341,0.55866617,-1.4137341,0.0,0.8022653
-0.4019052,-0.70686704,0.88796407,-0.57004726,-0.16234526,0.75937563,-0.83674145,-0.70686704,0.7241613,-1.4137341,1.197865,2.1242695
-0.4019052,0.0,1.0731119,-0.57004726,0.04189554,0.82048786,-0.83674145,0.0,1.135386,-0.70686704,0.0,0.90513307
0.0,-1.4137341,0.8381738,-0.57004726,0.24613634,0.9365103,-0.41837072,-1.4137341,0.6771547,-0.70686704,1.197865,1.3995818
0.0,-0.70686704,0.9218619,-0.57004726,0.45037714,1.0806161,-0.41837072,-0.70686704,0.8424582,0.0,0.0,1.0419748
0.0,0.0,1.0313406,-0.57004726,0.6546179,1.2281023,-0.41837072,0.0,1.089161,0.0,1.197865,0.8600485
0.4019052,-1.4137341,1.1094989,-0.57004726,0.8588587,1.3627008,0.0,-1.4137341,0.928962,,,
0.4019052,-0.70686704,1.0226591,-0.57004726,1.0630996,1.4775437,0.0,-0.70686704,1.0564858,,,
0.4019052,0.0,0.9770851,-0.57004726,1.2673404,1.5720712,0.0,0.0,1.0185093,,,
0.8038104,-1.4137341,1.4418868,-0.57004726,1.4715812,1.6483041,0.41837072,-1.4137341,1.2682643,,,
0.8038104,-0.70686704,1.1343158,-0.57004726,1.675822,1.7086312,0.41837072,-0.70686704,1.1902156,,,
0.8038104,0.0,0.9286232,-0.57004726,1.8800628,1.7551388,0.41837072,0.0,0.9589857,,,
,,,-0.57004726,2.0843036,1.7896495,0.83674145,-1.4137341,1.4693223,,,
,,,-0.57004726,2.2885444,1.8138715,0.83674145,-0.70686704,1.0245343,,,
,,,-0.57004726,2.4927852,1.8294508,0.83674145,0.0,0.94292957,,,
,,,-0.37227574,-0.36658606,0.82189274,,,,,,
,,,-0.37227574,-0.16234526,0.79527146,,,,,,
,,,-0.37227574,0.04189554,0.8294859,,,,,,
,,,-0.37227574,0.24613634,0.9136202,,,,,,
,,,-0.37227574,0.45037714,1.0249885,,,,,,
,,,-0.37227574,0.6546179,1.1400882,,,,,,
,,,-0.37227574,0.8588587,1.2425747,,,,,,
,,,-0.37227574,1.0630996,1.325549,,,,,,
,,,-0.37227574,1.2673404,1.3890285,,,,,,
,,,-0.37227574,1.4715812,1.4360859,,,,,,
,,,-0.37227574,1.675822,1.4702282,,,,,,
,,,-0.37227574,1.8800628,1.4943824,,,,,,
,,,-0.37227574,2.0843036,1.5107818,,,,,,
,,,-0.37227574,2.2885444,1.5211229,,,,,,
,,,-0.37227574,2.4927852,1.5267285,,,,,,
,,,-0.17450422,-0.36658606,0.87329495,,,,,,
,,,-0.17450422,-0.16234526,0.8425527,,,,,,
,,,-0.17450422,0.04189554,0.8475596,,,,,,
,,,-0.17450422,0.24613634,0.890726,,,,,,
,,,-0.17450422,0.45037714,0.9582351,,,,,,
,,,-0.17450422,0.6546179,1.0311211,,,,,,
,,,-0.17450422,0.8588587,1.0951706,,,,,,
,,,-0.17450422,1.0630996,1.1444122,,,,,,
,,,-0.17450422,1.2673404,1.1791726,,,,,,
,,,-0.17450422,1.4715812,1.2024896,,,,,,
,,,-0.17450422,1.675822,1.2176242,,,,,,
,,,-0.17450422,1.8800628,1.227115,,,,,,
,,,-0.17450422,2.0843036,1.232706,,,,,,
,,,-0.17450422,2.2885444,1.2355485,,,,,,
,,,-0.17450422,2.4927852,1.2364086,,,,,,
,,,0.023267299,-0.36658606,0.92248356,,,,,,
,,,0.023267299,-0.16234526,0.8980509,,,,,,
,,,0.023267299,0.04189554,0.8748409,,,,,,
,,,0.023267299,0.24613634,0.871117,,,,,,
,,,0.023267299,0.45037714,0.8883938,,,,,,
,,,0.023267299,0.6546179,0.91585994,,,,,,
,,,0.023267299,0.8588587,0.94228387,,,,,,
,,,0.023267299,1.0630996,0.96197194,,,,,,
,,,0.023267299,1.2673404,0.9743029,,,,,,
,,,0.023267299,1.4715812,0.9810065,,,,,,
,,,0.023267299,1.675822,0.9841165,,,,,,
,,,0.023267299,1.8800628,0.9851677,,,,,,
,,,0.023267299,2.0843036,0.9851164,,,,,,
,,,0.023267299,2.2885444,0.9844984,,,,,,
,,,0.023267299,2.4927852,0.9835912,,,,,,
,,,0.22103882,-0.36658606,0.9627976,,,,,,
,,,0.22103882,-0.16234526,0.9554461,,,,,,
,,,0.22103882,0.04189554,0.91069657,,,,,,
,,,0.22103882,0.24613634,0.8598566,,,,,,
,,,0.22103882,0.45037714,0.8258273,,,,,,
,,,0.22103882,0.6546179,0.8096285,,,,,,
