# Nomogram Data - Univariate
# Generated on: 2024-08-30 15:42:39
# Comment: PRN German CC data
# Method: lebesgue
# Number of discretization steps: 15
# Categorical threshold: 15
# Response scale: Odds ratio
Account Status_x,Account Status_response,Duration (Months)_x,Duration (Months)_response,Credit History_x,Credit History_response,Credit Amount_x,Credit Amount_response,Savings/Bonds_x,Savings/Bonds_response,Employment Length_x,Employment Length_response,Other Plans_x,Other Plans_response,Foreign Worker_x,Foreign Worker_response,Unknown1_x,Unknown1_response,Unknown2_x,Unknown2_response
-0.4019052,2.7164562,-0.57004726,0.47631678,-0.93374604,2.4498637,-0.36658606,1.5978477,0.0,1.2091465,-0.83674145,1.6709119,-1.4137341,1.760176,0.0,1.0603244,0.0,0.8755773,0.0,1.1127273
0.0,1.4827126,-0.37227574,0.60568225,-0.46687302,1.7550925,-0.16234526,1.1465058,0.32229185,0.9696506,-0.41837072,1.4342818,-0.70686704,1.9066732,2.6420498,0.21905318,1.197865,1.5969682,1.7215279,0.258038
0.4019052,0.767852,-0.17450422,0.7876014,0.0,1.2119625,0.04189554,0.8608408,0.6445837,0.8065693,0.0,1.0860583,0.0,0.8803626,,,,,,
0.8038104,0.40690818,0.023267299,1.0340745,0.46687302,0.8423528,0.24613634,0.74055284,0.9668755,0.6985455,0.41837072,0.8137895,,,,,,,,
,,0.22103882,1.3525857,0.93374604,0.61214036,0.45037714,0.758036,1.2891674,0.6253378,0.83674145,0.68300825,,,,,,,,
,,0.41881034,1.7428819,,,0.6546179,0.902377,,,,,,,,,,,,
,,0.61658186,2.1959476,,,0.8588587,1.1776803,,,,,,,,,,,,
,,0.8143532,2.6956463,,,1.0630996,1.5845913,,,,,,,,,,,,
,,1.0121248,3.2220678,,,1.2673404,2.1078176,,,,,,,,,,,,
,,1.2098962,3.7551715,,,1.4715812,2.7186282,,,,,,,,,,,,
,,1.4076678,4.2776732,,,1.675822,3.3848433,,,,,,,,,,,,
,,1.6054393,4.7766595,,,1.8800628,4.078173,,,,,,,,,,,,
,,1.8032107,5.2439213,,,2.0843036,4.7766676,,,,,,,,,,,,
,,2.0009823,5.6753497,,,2.2885444,5.4644403,,,,,,,,,,,,
,,2.1987538,6.069898,,,2.4927852,6.1305842,,,,,,,,,,,,
